Al,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Br,Sr,Zr,Nb,Cd,Cd.1,Sn,Sn.1,Pb,Pb.1,Site,cluster
2914,76180,758,1,2,24468,97109,3513,60535,1460156,4824,6765,5473,2175,8207,58203,2166,3094,13894,1337,6406,3940,2159,2,12
3393,80553,760,1,1,18641,142080,3883,14997,690735,6942,6923,5497,3178,3978,72081,3313,3027,6993,1526,4820,5244,3035,2,39
2418,95055,467,1,0,29518,131417,2987,7700,632706,6325,6553,3867,877,5388,66116,3604,3514,6644,1498,6655,4156,2051,2,59
2339,94748,1351,1,1,20621,130796,2778,11255,508477,7231,6698,4883,1621,7069,75696,2953,3035,7237,1822,5498,3562,2492,2,29
3097,91306,480,1,1,37100,128953,3077,13812,603124,6899,6602,4880,835,5637,65337,3321,3804,6437,1378,8520,2602,1940,2,56
2726,89304,675,1,1,20747,125097,3067,7265,604340,7715,6751,1840,2069,4731,60409,3604,4064,7735,1197,4919,4681,2103,2,57
4374,71319,2838,1,17107,52,129463,4303,23809,937972,7579,6377,11493,1299,6965,78815,3894,4252,25367,2481,3656,5403,1791,3,88
5010,53237,1634,1,8486,253,162739,5431,36231,1080184,7467,7229,13080,2264,8062,57846,4333,3241,21201,1030,4281,4769,1865,3,80
3690,66559,1089,1,1,1,117877,4354,76123,701461,8109,8051,13403,2596,4063,69767,2598,3793,9962,2612,505,5529,4831,3,45
3605,55173,1709,1,1,1,160416,7471,131228,2258498,5158,7309,6499,2173,3912,39124,2263,2958,13455,2052,1658,8956,1835,3,2
5679,51185,4987,1,1,1251,134078,8192,55651,992037,8018,7970,5165,1859,8343,63122,2862,4026,16440,2108,2845,6164,1454,3,84
3758,54165,1754,1,1,27,107447,6958,117811,1761286,5827,6946,6998,4814,5038,43583,3722,3440,13518,2393,1614,4414,2304,3,23
3731,57832,2455,1,14,1,150784,5922,52344,1714724,6152,6958,6521,2636,3442,30625,1973,2489,19790,1078,2097,5758,1739,3,21
5261,77882,788,1,1,3288,163165,7694,105249,639570,8655,4321,5839,2705,4720,44173,3111,3891,11375,1604,2586,7412,1872,3,46
3496,47799,1833,1,1,4758,63369,7945,23455,803816,7430,9124,3699,3290,3576,31038,1541,3288,11472,1142,1581,6414,1937,3,97
4306,86503,899,1,1,8205,67555,6962,31426,803991,8352,6722,3179,2841,4407,30332,1578,4026,11291,2172,2651,5735,1869,3,95
3296,71142,1273,1,1,5236,66031,7248,51804,815247,7840,7864,3824,3963,4580,31218,1587,4522,11316,2061,2391,6129,1948,3,96
3312,62190,957,1,1,8346,61629,8271,231933,795781,6644,6716,4229,3699,4149,31352,1887,3751,10723,1151,2668,5390,1857,3,90
4852,65266,700,1,1,4032,132296,4886,77065,619717,8703,6785,7596,4589,4581,65681,3309,5064,9815,2616,2031,5502,2358,3,47
4555,59594,3163,1,28054,1,175488,6975,152758,1287351,6973,6983,13310,1645,7731,57099,2953,3033,28316,1521,5337,5755,1567,3,76
3604,45178,5388,1,1,16912,103000,7037,294737,733627,7502,4973,10273,5068,7619,64869,2739,3121,11083,1516,4606,4428,1908,3,91
5561,66504,665,1,1,14763,141329,7376,94501,1155111,7435,6342,7605,740,8004,54707,3236,3164,10886,2103,4497,5478,2070,3,70
10566,32454,14211,27,1,2394234,6916,1140,140720,142641,25936,3612,6769,2441,63754,13536,441,3659,5599,1070,247438,3600,6820,3,101
